lucky_number,spin_result,numerology_score,guessed_number,wheel_color,chaos_factor,random_number,guessing_attempts,generated_number,neon_style
26,win,76,9,#1d116f,1,100,5,8,flashy
95,draw,46,10,#030a1d,7,74,2,88,flashy
47,win,27,5,#dc3f17,4,57,3,100,bright
70,draw,50,9,#8b9a11,8,10,3,72,vibrant
28,win,7,9,#91ae1e,1,98,4,16,bright
38,draw,32,4,#e9b715,5,93,2,53,bright
41,draw,27,3,#67ae5c,8,50,3,16,vibrant
77,win,70,9,#58dc1c,8,61,5,49,flashy
64,lose,4,4,#1c2dc5,2,6,5,14,bright
40,win,45,1,#547702,7,71,4,85,bright
18,lose,4,6,#e0aa80,0,22,5,66,vibrant
47,win,66,10,#efebdc,5,61,5,98,bright
79,draw,58,3,#b6a694,3,7,5,32,vibrant
76,draw,5,10,#32cdc9,0,30,5,13,flashy
28,lose,34,7,#acc2f6,10,81,4,87,bright
46,lose,9,9,#a515be,0,4,3,91,flashy
91,lose,92,4,#bfd515,2,26,2,53,vibrant
43,draw,44,4,#4a162c,7,77,3,68,flashy
97,win,37,7,#2575e1,2,75,4,18,vibrant
86,draw,18,8,#55b391,9,35,1,98,vibrant
4,win,19,5,#6d4577,10,39,2,12,bright
9,win,16,7,#5a9407,4,6,4,14,flashy
94,draw,76,6,#990123,6,86,2,43,bright
7,draw,1,10,#7ffacc,10,86,3,71,bright
6,lose,72,5,#67d5f6,6,72,3,67,bright
100,draw,20,5,#7a23d5,8,87,1,83,vibrant
65,draw,28,3,#a603a5,2,49,1,30,bright
24,draw,28,8,#4dae1d,10,75,4,7,bright
2,lose,19,3,#7bb13d,2,31,5,23,bright
29,win,96,4,#597aea,5,51,4,76,flashy
94,lose,88,7,#5525f2,6,62,1,52,bright
27,draw,6,5,#f8f5c8,9,88,5,65,bright
42,win,17,6,#418513,7,74,5,14,vibrant
34,lose,66,10,#92a63a,10,12,4,60,vibrant
27,win,91,6,#03b7ab,6,59,2,13,flashy
24,lose,100,10,#26f4d8,1,92,3,68,bright
28,draw,100,9,#8c93f9,0,92,2,46,flashy
24,draw,87,9,#2fbc25,5,99,3,88,bright
98,draw,53,4,#41a10b,9,80,1,3,bright
35,lose,35,8,#37e514,8,1,1,77,bright
96,draw,16,2,#dd965b,10,32,4,100,vibrant
73,lose,46,3,#4feece,10,69,3,71,bright
50,lose,83,6,#282b09,3,25,4,92,bright
56,draw,76,7,#15dc9d,9,75,2,21,bright
88,win,86,10,#57b296,4,99,2,32,bright
93,lose,68,1,#516eb6,0,49,1,57,vibrant
2,draw,21,9,#92fa52,8,61,5,61,bright
87,win,14,10,#0a95fa,9,42,1,28,vibrant
93,draw,37,6,#4a075e,1,84,2,86,flashy
16,win,88,2,#24e1e9,8,59,1,16,flashy
79,lose,51,2,#37b479,9,31,4,80,bright
95,draw,6,4,#d4124d,7,97,4,21,bright
56,draw,75,6,#305d92,0,33,5,44,bright
27,draw,38,9,#c0b52b,6,45,2,60,bright
8,lose,29,4,#5e8535,9,23,5,59,bright
99,draw,24,6,#25ab16,8,60,2,12,bright
56,lose,2,10,#10f1c1,8,35,1,36,vibrant
10,lose,27,9,#a25792,5,80,3,73,bright
42,win,8,3,#4a592c,9,30,3,30,flashy
32,draw,52,5,#a20d47,10,66,4,45,vibrant
54,win,93,1,#79edae,6,95,2,11,flashy
82,draw,60,8,#82daad,7,82,5,25,vibrant
78,lose,53,10,#a34411,10,75,4,64,vibrant
21,win,6,2,#32bb99,8,46,5,29,vibrant
72,win,31,6,#066197,4,7,1,21,vibrant
38,lose,33,6,#b14e55,2,5,1,9,bright
30,lose,42,6,#c95942,6,46,3,9,bright
83,win,28,5,#d707e7,5,87,4,76,flashy
19,win,30,6,#974599,1,36,2,55,vibrant
99,lose,27,1,#edcf7d,2,24,3,45,flashy
53,draw,36,10,#9160e4,10,4,4,15,flashy
38,draw,39,5,#db1f36,6,88,4,86,flashy
90,lose,90,6,#bdf43b,10,28,4,14,flashy
98,win,99,7,#87b151,1,2,2,4,vibrant
67,draw,93,8,#9a9c81,1,84,3,68,flashy
4,draw,8,2,#ce6728,0,96,4,97,bright
11,win,55,6,#190947,1,8,3,92,flashy
56,draw,1,5,#33797e,3,17,1,2,bright
