user_id,character_name,level,cybernetic_implants,luck_factor,random_event,chaos_level,predicted_number,quirkiness_rating,decision_made
1,Neddie,60,cybernetic arm,1,encounter with rogue AI,2,82,6,join faction
2,Lita,72,augmented eyes,1,glitch in the system,93,12,4,accept quest
3,Wally,5,cybernetic arm,6,glitch in the system,93,42,6,betray ally
4,Hillie,8,neural interface,10,encounter with rogue AI,88,21,5,accept quest
5,Kaila,47,augmented eyes,6,unexpected ally,21,30,5,betray ally
6,Jobye,78,augmented eyes,1,encounter with rogue AI,39,89,4,betray ally
7,Mona,42,cybernetic arm,7,encounter with rogue AI,91,70,5,join faction
8,Emilia,74,augmented eyes,2,glitch in the system,69,97,7,join faction
9,Holden,3,neural interface,7,encounter with rogue AI,34,68,6,join faction
10,Westley,49,neural interface,6,encounter with rogue AI,54,75,10,join faction
11,Lisbeth,6,neural interface,6,glitch in the system,95,77,2,accept quest
12,Marchelle,19,augmented eyes,4,unexpected ally,81,68,8,accept quest
13,Elenore,95,cybernetic arm,2,glitch in the system,41,64,2,accept quest
14,Fayth,78,neural interface,3,encounter with rogue AI,8,72,5,join faction
15,Braden,19,cybernetic arm,1,glitch in the system,14,13,2,betray ally
16,Correy,48,cybernetic arm,4,glitch in the system,39,48,5,join faction
17,Ronny,83,cybernetic arm,8,unexpected ally,8,5,10,betray ally
18,Waiter,61,neural interface,2,unexpected ally,3,20,10,join faction
19,Milton,38,augmented eyes,2,unexpected ally,21,94,6,betray ally
20,Ozzie,95,cybernetic arm,6,glitch in the system,5,95,5,betray ally
21,Batsheva,52,augmented eyes,9,encounter with rogue AI,60,92,10,join faction
22,Graeme,20,cybernetic arm,9,glitch in the system,79,96,5,join faction
23,Jock,89,augmented eyes,6,unexpected ally,68,37,3,betray ally
24,Kamillah,34,augmented eyes,10,glitch in the system,5,58,2,join faction
25,Barbara-anne,93,augmented eyes,3,unexpected ally,71,60,1,accept quest
26,Paco,29,cybernetic arm,4,unexpected ally,94,28,8,accept quest
27,Isa,98,neural interface,5,glitch in the system,63,79,1,accept quest
28,Edna,12,neural interface,4,encounter with rogue AI,27,53,6,accept quest
29,Abram,11,augmented eyes,7,glitch in the system,22,96,5,join faction
30,Zacharia,70,neural interface,1,encounter with rogue AI,28,51,10,accept quest
31,Dene,74,cybernetic arm,8,glitch in the system,28,82,1,join faction
32,Willi,6,neural interface,1,unexpected ally,85,67,2,join faction
33,Mata,36,cybernetic arm,6,encounter with rogue AI,71,14,4,betray ally
34,Arturo,59,neural interface,9,encounter with rogue AI,42,5,8,join faction
35,Swen,6,neural interface,8,encounter with rogue AI,89,76,4,betray ally
36,Roma,79,augmented eyes,1,glitch in the system,51,33,5,accept quest
37,Maxwell,93,cybernetic arm,7,encounter with rogue AI,78,67,6,join faction
38,Terence,67,neural interface,10,unexpected ally,68,59,2,betray ally
39,Aline,60,neural interface,7,unexpected ally,35,53,10,accept quest
40,Octavius,37,cybernetic arm,10,unexpected ally,52,78,6,accept quest
41,Vidovic,55,cybernetic arm,4,unexpected ally,35,13,6,join faction
42,Akim,91,neural interface,8,unexpected ally,42,68,1,accept quest
43,Wenda,58,neural interface,7,encounter with rogue AI,89,15,5,betray ally
44,Jennee,30,neural interface,5,encounter with rogue AI,68,76,1,betray ally
45,Benn,42,cybernetic arm,5,encounter with rogue AI,31,46,5,accept quest
46,Abey,90,augmented eyes,4,encounter with rogue AI,20,7,7,betray ally
47,Brigit,26,neural interface,10,encounter with rogue AI,40,34,1,join faction
48,Carlina,4,neural interface,2,glitch in the system,87,10,3,accept quest
49,Bernete,86,cybernetic arm,8,glitch in the system,51,33,9,accept quest
50,Riki,28,augmented eyes,2,unexpected ally,60,78,5,betray ally
51,Concordia,56,augmented eyes,7,encounter with rogue AI,73,72,7,betray ally
52,Hobey,29,augmented eyes,10,encounter with rogue AI,35,43,8,betray ally
53,Marja,99,cybernetic arm,4,glitch in the system,19,100,8,join faction
54,Bert,12,cybernetic arm,4,glitch in the system,100,29,8,betray ally
55,Marrilee,25,cybernetic arm,2,unexpected ally,20,77,9,join faction
56,Tess,87,cybernetic arm,5,unexpected ally,76,80,3,betray ally
57,Priscilla,29,augmented eyes,10,unexpected ally,97,70,4,join faction
58,Alberta,17,cybernetic arm,4,glitch in the system,3,38,9,betray ally
59,Enrika,4,cybernetic arm,8,encounter with rogue AI,52,5,10,join faction
60,Mignonne,51,cybernetic arm,10,encounter with rogue AI,2,69,2,join faction
61,Kaycee,67,neural interface,7,glitch in the system,53,4,2,join faction
62,Carline,92,augmented eyes,10,encounter with rogue AI,57,80,7,betray ally
63,Skelly,10,neural interface,8,unexpected ally,84,81,4,accept quest
64,Sheelah,38,augmented eyes,1,encounter with rogue AI,98,41,8,accept quest
65,Gilda,48,cybernetic arm,10,unexpected ally,29,70,7,accept quest
66,Prent,61,cybernetic arm,9,encounter with rogue AI,93,75,2,betray ally
67,Damita,78,augmented eyes,7,glitch in the system,46,1,9,betray ally
68,Orbadiah,64,augmented eyes,8,encounter with rogue AI,56,70,7,join faction
69,Merwyn,81,augmented eyes,10,unexpected ally,24,87,6,accept quest
70,Basia,96,neural interface,2,encounter with rogue AI,13,30,5,accept quest
71,Prue,36,cybernetic arm,5,encounter with rogue AI,92,31,1,betray ally
72,Karrah,79,augmented eyes,4,glitch in the system,1,3,9,accept quest
73,Brade,28,cybernetic arm,4,encounter with rogue AI,87,11,4,betray ally
74,Jase,96,cybernetic arm,6,encounter with rogue AI,83,27,5,accept quest
75,Coretta,96,neural interface,3,glitch in the system,29,23,7,betray ally
76,Ashby,50,neural interface,5,glitch in the system,3,42,1,betray ally
77,Philip,90,augmented eyes,2,encounter with rogue AI,51,39,6,betray ally
78,Britteny,98,neural interface,2,glitch in the system,70,53,6,join faction
79,Ingram,75,cybernetic arm,9,encounter with rogue AI,12,12,4,betray ally
80,Frannie,80,augmented eyes,6,glitch in the system,39,37,1,join faction
81,Loria,72,augmented eyes,8,glitch in the system,62,85,1,accept quest
82,Huntington,87,neural interface,2,encounter with rogue AI,41,86,10,accept quest
83,Hamlin,34,cybernetic arm,1,glitch in the system,70,18,8,join faction
84,Vassily,19,cybernetic arm,6,glitch in the system,50,2,8,join faction
85,Blinny,24,augmented eyes,1,glitch in the system,89,33,10,join faction
86,Nefen,96,cybernetic arm,2,glitch in the system,71,47,1,join faction
87,Carr,47,neural interface,1,unexpected ally,91,93,2,accept quest
88,Dot,27,cybernetic arm,1,unexpected ally,61,63,9,join faction
89,Angela,63,augmented eyes,4,unexpected ally,12,38,8,betray ally
90,Sawyere,72,augmented eyes,1,glitch in the system,20,4,2,betray ally
91,Matthias,50,cybernetic arm,5,encounter with rogue AI,17,34,6,join faction
92,Elli,60,cybernetic arm,7,encounter with rogue AI,97,73,5,join faction
93,Fina,2,cybernetic arm,9,unexpected ally,13,72,2,join faction
94,Adams,87,neural interface,8,glitch in the system,39,87,6,betray ally
95,Christen,15,neural interface,6,glitch in the system,63,10,9,betray ally
96,Caitrin,23,augmented eyes,9,glitch in the system,20,6,10,betray ally
97,Shadow,80,cybernetic arm,9,encounter with rogue AI,66,20,2,betray ally
98,Allin,23,augmented eyes,9,unexpected ally,96,77,6,betray ally
99,Tudor,39,augmented eyes,5,encounter with rogue AI,65,66,8,accept quest
100,Massimo,92,neural interface,4,encounter with rogue AI,60,90,7,join faction
101,Erastus,60,neural interface,6,unexpected ally,12,92,4,betray ally
102,Robby,26,augmented eyes,9,unexpected ally,44,36,2,accept quest
103,Loydie,53,neural interface,6,glitch in the system,39,23,3,join faction
104,Dacy,64,cybernetic arm,8,glitch in the system,99,41,7,join faction
105,Tory,77,cybernetic arm,4,encounter with rogue AI,15,40,10,join faction
106,Carmita,42,augmented eyes,8,encounter with rogue AI,92,54,5,betray ally
107,Alix,66,neural interface,9,encounter with rogue AI,3,25,3,join faction
108,Georgina,90,augmented eyes,5,unexpected ally,67,48,6,accept quest
109,Lorrayne,52,augmented eyes,4,glitch in the system,71,27,9,betray ally
110,Clint,65,augmented eyes,4,glitch in the system,12,50,3,betray ally
111,Georgine,100,augmented eyes,2,encounter with rogue AI,96,19,7,accept quest
112,Lizabeth,87,cybernetic arm,6,unexpected ally,87,38,10,betray ally
113,Ketti,58,augmented eyes,8,encounter with rogue AI,52,97,6,betray ally
114,Lezlie,64,neural interface,6,encounter with rogue AI,33,80,2,betray ally
115,Cozmo,85,augmented eyes,6,encounter with rogue AI,20,92,8,join faction
116,Edna,7,neural interface,1,glitch in the system,58,39,5,accept quest
117,Phillipe,75,neural interface,8,glitch in the system,10,27,9,betray ally
118,Agace,67,cybernetic arm,5,encounter with rogue AI,30,41,4,accept quest
119,Prince,99,cybernetic arm,6,encounter with rogue AI,85,16,6,accept quest
120,Ashla,65,neural interface,6,unexpected ally,13,98,2,accept quest
121,Verna,49,cybernetic arm,6,unexpected ally,69,4,5,join faction
122,Kaile,16,neural interface,7,unexpected ally,84,70,10,accept quest
123,Nerte,2,augmented eyes,7,unexpected ally,79,52,5,betray ally
124,Bettina,37,neural interface,3,glitch in the system,37,69,3,betray ally
125,Cherye,32,neural interface,8,encounter with rogue AI,60,34,2,betray ally
126,Betsy,85,neural interface,3,encounter with rogue AI,6,83,10,accept quest
127,Ilaire,87,cybernetic arm,8,unexpected ally,65,11,6,join faction
128,Estella,60,augmented eyes,4,unexpected ally,56,87,3,join faction
129,Irina,20,cybernetic arm,1,glitch in the system,60,41,2,join faction
130,Kelvin,64,neural interface,3,encounter with rogue AI,78,55,10,accept quest
131,Daveta,24,augmented eyes,4,encounter with rogue AI,32,79,3,join faction
132,Essa,51,augmented eyes,5,unexpected ally,25,5,10,accept quest
133,Ferris,98,augmented eyes,4,glitch in the system,38,9,7,join faction
134,Blondell,77,cybernetic arm,3,glitch in the system,37,60,10,join faction
135,Tana,23,augmented eyes,8,unexpected ally,5,34,5,join faction
136,Wade,28,neural interface,10,unexpected ally,13,43,7,join faction
137,Zachery,80,augmented eyes,6,glitch in the system,39,45,2,accept quest
138,Junia,5,cybernetic arm,7,encounter with rogue AI,97,68,4,join faction
139,Gwyn,21,neural interface,2,unexpected ally,44,26,7,join faction
140,Anallese,89,neural interface,9,encounter with rogue AI,85,42,2,accept quest
141,Josh,75,neural interface,7,unexpected ally,39,80,3,join faction
142,Diann,90,neural interface,7,encounter with rogue AI,91,96,5,accept quest
143,Lexine,87,cybernetic arm,8,glitch in the system,70,14,10,join faction
144,Laureen,73,augmented eyes,10,unexpected ally,81,40,7,accept quest
145,Ulla,9,augmented eyes,4,unexpected ally,8,61,1,betray ally
146,Feodor,25,augmented eyes,8,unexpected ally,48,17,8,join faction
147,Jamey,70,cybernetic arm,5,glitch in the system,22,33,5,betray ally
148,Gilberte,9,cybernetic arm,4,encounter with rogue AI,6,72,8,accept quest
149,Giselle,2,cybernetic arm,1,unexpected ally,54,19,5,accept quest
150,Merlina,41,neural interface,4,encounter with rogue AI,31,26,1,betray ally
151,Neila,58,neural interface,5,glitch in the system,66,41,5,join faction
152,Hayward,21,neural interface,5,glitch in the system,67,70,5,betray ally
153,Gustave,71,augmented eyes,1,glitch in the system,78,100,10,accept quest
154,Kurtis,75,augmented eyes,8,glitch in the system,18,35,7,join faction
155,Iolande,22,augmented eyes,5,unexpected ally,23,92,6,accept quest
156,Aurthur,71,neural interface,5,encounter with rogue AI,63,6,10,betray ally
157,Shelba,13,cybernetic arm,7,glitch in the system,31,16,4,join faction
158,Pauly,7,augmented eyes,2,glitch in the system,16,96,4,betray ally
159,Lisa,98,augmented eyes,9,glitch in the system,89,55,1,betray ally
160,Sheryl,56,cybernetic arm,4,glitch in the system,60,21,8,accept quest
161,Valina,71,augmented eyes,7,unexpected ally,36,41,4,betray ally
162,Karil,20,neural interface,5,encounter with rogue AI,70,41,10,accept quest
163,Matthieu,60,neural interface,5,unexpected ally,1,99,1,betray ally
164,Vale,16,cybernetic arm,6,glitch in the system,26,75,2,betray ally
165,Marys,96,cybernetic arm,10,glitch in the system,75,25,5,join faction
166,Carmencita,80,cybernetic arm,3,encounter with rogue AI,33,81,4,accept quest
167,Tallie,50,neural interface,9,unexpected ally,35,4,8,join faction
168,Isa,70,cybernetic arm,1,glitch in the system,76,6,2,betray ally
169,Elise,48,cybernetic arm,10,glitch in the system,36,97,10,join faction
170,Glyn,99,augmented eyes,9,unexpected ally,69,34,8,accept quest
171,Nathaniel,81,neural interface,1,encounter with rogue AI,75,41,10,accept quest
172,Orland,29,neural interface,9,glitch in the system,50,63,9,accept quest
173,Norrie,55,cybernetic arm,8,glitch in the system,89,33,5,accept quest
174,Raye,50,augmented eyes,2,glitch in the system,62,29,7,betray ally
175,Stavro,97,augmented eyes,3,glitch in the system,3,91,7,accept quest
176,Gusella,64,augmented eyes,3,unexpected ally,70,47,1,betray ally
177,Joyan,84,neural interface,5,unexpected ally,10,88,5,join faction
178,Windy,44,neural interface,2,unexpected ally,74,77,9,betray ally
179,Hulda,11,cybernetic arm,9,encounter with rogue AI,62,29,4,accept quest
180,Berget,74,neural interface,8,encounter with rogue AI,36,55,2,accept quest
181,Billie,16,augmented eyes,6,encounter with rogue AI,5,58,3,accept quest
182,Yale,92,augmented eyes,1,unexpected ally,23,63,10,join faction
183,Waly,59,cybernetic arm,4,encounter with rogue AI,91,87,9,join faction
184,Mannie,52,cybernetic arm,6,encounter with rogue AI,92,8,3,accept quest
185,Goldina,3,augmented eyes,5,encounter with rogue AI,14,58,10,betray ally
186,Louie,68,augmented eyes,1,unexpected ally,84,19,9,accept quest
187,Osmond,77,cybernetic arm,1,glitch in the system,33,60,6,betray ally
188,Celia,100,neural interface,9,unexpected ally,67,59,2,accept quest
189,Ardine,62,cybernetic arm,9,encounter with rogue AI,40,32,7,betray ally
190,Veronica,35,neural interface,8,encounter with rogue AI,41,20,10,accept quest
191,Saunders,31,neural interface,2,glitch in the system,73,51,3,betray ally
192,Claudelle,29,neural interface,8,encounter with rogue AI,92,78,9,join faction
193,Bastian,67,neural interface,3,unexpected ally,46,53,1,betray ally
194,Chrysa,93,augmented eyes,1,encounter with rogue AI,40,53,5,join faction
195,Essa,84,cybernetic arm,3,encounter with rogue AI,56,16,2,join faction
196,Casey,12,neural interface,4,glitch in the system,86,42,10,accept quest
197,Guss,36,augmented eyes,1,encounter with rogue AI,12,9,3,join faction
198,Lon,84,augmented eyes,6,glitch in the system,21,44,8,join faction
199,Zechariah,12,augmented eyes,9,unexpected ally,81,37,2,accept quest
200,Andy,7,augmented eyes,10,unexpected ally,49,49,2,betray ally
201,Lorraine,32,neural interface,1,glitch in the system,37,16,9,join faction
202,Niles,17,neural interface,4,glitch in the system,29,25,10,join faction
203,Zacharias,59,neural interface,6,glitch in the system,54,82,3,accept quest
204,Cullen,3,neural interface,6,unexpected ally,36,58,3,betray ally
205,Nikolaos,71,cybernetic arm,7,unexpected ally,24,32,8,betray ally
206,Brendan,74,augmented eyes,6,unexpected ally,76,44,7,join faction
207,Oliy,11,cybernetic arm,8,unexpected ally,2,57,10,betray ally
208,Haley,31,augmented eyes,5,unexpected ally,40,11,9,betray ally
