player_name,score,level,spin_result,lucky_number,animation_style,chaos_level,guessing_attempts,decision_made,wheel_color
Nissie,493,2,draw,32,fade,3,3,no,yellow
Lydie,296,10,win,31,bounce,2,8,maybe,blue
Damara,139,10,lose,22,fade,2,3,no,green
Blondell,978,3,draw,68,fade,5,7,maybe,red
Billie,771,6,draw,86,bounce,3,6,maybe,blue
Zachary,23,9,lose,87,bounce,1,7,no,yellow
Marcy,292,6,win,26,fade,3,4,maybe,red
Andromache,178,2,draw,23,bounce,4,1,yes,yellow
Germayne,54,2,win,70,fade,3,10,no,red
Erny,727,5,lose,49,fade,2,9,no,blue
Noe,847,7,win,2,fade,1,9,no,blue
Sena,250,1,win,17,bounce,4,5,no,blue
Douglas,874,4,lose,87,zoom,5,7,no,red
Ricoriki,870,8,lose,22,bounce,5,3,yes,red
Alphard,827,4,lose,37,bounce,5,10,no,red
Lesya,909,2,draw,22,zoom,5,6,yes,yellow
Blondelle,757,2,win,31,bounce,1,10,no,blue
Evangelin,825,6,draw,77,bounce,5,1,maybe,blue
Sheffie,506,5,draw,38,zoom,4,4,no,red
Leopold,942,7,lose,3,fade,2,9,no,blue
Retha,168,1,win,21,bounce,1,4,yes,blue
Haley,250,9,win,87,zoom,3,5,maybe,green
Katrina,330,5,win,22,bounce,4,9,no,red
Priscilla,507,3,lose,77,fade,2,6,yes,yellow
Neile,753,2,win,11,fade,5,6,no,yellow
Burgess,711,5,draw,47,fade,2,5,yes,green
Fredrika,920,7,draw,16,bounce,5,6,no,blue
Peterus,36,6,lose,100,bounce,3,7,no,yellow
Vin,859,4,lose,14,fade,3,2,maybe,yellow
Halie,89,8,draw,88,zoom,1,6,yes,green
Leanna,985,6,win,39,bounce,2,7,no,red
Cortney,713,1,win,73,fade,4,6,yes,blue
Brina,427,4,win,69,zoom,4,8,no,green
Martha,291,10,win,15,bounce,5,5,maybe,yellow
Palm,603,4,win,45,bounce,2,10,maybe,blue
Feliks,529,1,lose,33,zoom,5,8,no,blue
Elwira,103,7,lose,61,zoom,3,10,maybe,red
Eimile,346,1,win,87,fade,4,7,no,yellow
Rina,657,2,lose,100,zoom,4,4,yes,red
Paquito,242,5,draw,83,zoom,4,4,yes,yellow
Bogey,234,4,lose,26,fade,2,4,maybe,red
Eugenio,491,4,win,74,bounce,2,4,maybe,yellow
Luz,51,5,lose,9,zoom,1,6,maybe,yellow
Gherardo,644,3,lose,99,fade,1,7,no,green
Selestina,321,4,draw,64,fade,4,6,yes,blue
Francklin,222,8,win,85,fade,3,1,no,blue
Welsh,941,7,lose,31,bounce,3,8,maybe,green
Wilmer,414,9,win,73,bounce,1,1,maybe,yellow
Mari,910,7,lose,20,fade,5,1,no,green
Nettie,290,8,draw,79,bounce,1,5,yes,red
Mallissa,896,5,win,20,fade,1,10,maybe,red
Freedman,995,10,lose,29,fade,5,4,maybe,yellow
Timofei,651,6,win,98,bounce,1,10,maybe,red
Giffer,286,6,win,10,bounce,5,9,maybe,red
Fletch,203,1,draw,32,zoom,5,9,maybe,red
Roberto,982,7,win,87,bounce,1,8,yes,blue
Cinderella,602,1,lose,19,zoom,1,10,yes,green
Elyssa,321,5,draw,13,zoom,1,8,maybe,red
Kearney,186,2,draw,40,zoom,2,10,yes,green
Matt,423,3,win,54,bounce,2,4,no,blue
Maddalena,881,9,draw,70,zoom,5,2,maybe,blue
Gottfried,970,1,lose,95,fade,4,8,maybe,red
Jolee,605,10,draw,21,zoom,3,4,yes,yellow
Milli,204,2,draw,85,bounce,3,10,no,green
Rhody,615,5,draw,32,bounce,4,5,no,green
Paddie,167,8,lose,44,fade,5,2,yes,yellow
Byram,993,5,draw,2,zoom,2,3,yes,blue
Corbin,374,3,draw,23,bounce,1,8,no,green
Burl,481,6,draw,19,fade,3,10,no,blue
Cort,824,3,win,15,fade,2,2,yes,green
Georgena,233,10,lose,40,zoom,3,8,yes,yellow
Barnett,793,7,win,97,zoom,5,6,maybe,red
Lewiss,750,4,draw,98,fade,1,3,no,yellow
John,982,7,win,14,zoom,4,4,no,blue
Chick,453,10,win,35,fade,4,10,no,blue
Boonie,182,6,win,78,zoom,2,1,maybe,blue
Caitrin,303,5,draw,48,bounce,5,7,no,yellow
Roland,951,7,win,80,bounce,2,2,yes,yellow
Abbe,29,9,draw,38,fade,1,4,yes,green
Stacy,408,2,win,37,zoom,5,4,no,green
Nessie,196,9,draw,63,zoom,1,9,maybe,yellow
Jeremie,651,9,lose,6,bounce,4,5,yes,yellow
Lara,515,5,lose,50,zoom,5,10,no,yellow
Corie,501,6,win,41,zoom,2,10,no,yellow
Madelin,797,8,draw,89,zoom,2,10,maybe,blue
Elka,658,9,draw,5,bounce,2,2,no,green
Rustin,734,2,lose,24,zoom,1,4,no,yellow
Dewain,619,1,win,87,bounce,2,10,maybe,blue
Reece,775,1,lose,53,zoom,5,8,maybe,yellow
Jillane,997,8,win,88,fade,3,6,yes,yellow
Aguistin,955,5,win,100,bounce,3,3,maybe,green
Brigitte,73,2,win,92,fade,5,7,no,green
Cobby,174,1,lose,49,bounce,2,5,yes,green
Carlin,128,5,lose,18,zoom,3,3,no,red
Ashla,510,4,lose,40,bounce,1,5,no,blue
Kaitlyn,367,1,draw,72,bounce,5,5,no,green
Anna-diane,120,9,lose,75,fade,3,4,maybe,yellow
Claudius,756,3,win,27,zoom,2,5,maybe,green
Dinny,775,4,lose,40,fade,1,3,yes,blue
Raimund,869,9,lose,78,fade,3,10,yes,red
Silvester,306,6,win,5,bounce,3,8,yes,green
Port,97,3,draw,27,bounce,3,5,maybe,green
Larissa,959,5,win,89,zoom,5,5,maybe,red
