number_symbols,personalized_theme,sound_toggle,victory_tracker,destiny_numbers,mystery_numbers,random_fun,unexpected_game,number_based_quiz,fast_paced_luck_game
43,colorful,false,54,721,30,riddles,maze,11,roulette
42,light,true,49,962,563,riddles,escape room,13,bingo
70,colorful,true,70,603,786,riddles,puzzle,20,slot machine
96,light,true,70,224,951,trivia,maze,10,slot machine
96,light,false,31,684,589,riddles,puzzle,12,slot machine
93,light,true,80,392,731,trivia,puzzle,9,bingo
51,dark,false,3,255,635,riddles,escape room,18,roulette
84,colorful,true,69,611,830,jokes,maze,5,roulette
93,dark,false,91,802,909,jokes,maze,9,slot machine
24,dark,false,21,447,777,trivia,puzzle,1,bingo
47,light,false,46,913,69,jokes,escape room,9,roulette
59,colorful,false,81,175,466,trivia,escape room,5,slot machine
90,light,false,46,502,629,riddles,maze,20,roulette
96,dark,false,43,577,241,jokes,puzzle,4,roulette
61,dark,true,57,266,309,trivia,puzzle,13,roulette
63,dark,true,66,527,36,jokes,escape room,16,roulette
64,colorful,true,91,576,164,jokes,puzzle,16,bingo
5,dark,false,91,14,672,jokes,escape room,14,bingo
13,dark,true,57,275,71,riddles,escape room,2,roulette
1,colorful,true,11,500,938,trivia,puzzle,4,bingo
94,dark,false,52,339,940,riddles,maze,18,slot machine
7,colorful,true,0,654,633,riddles,escape room,10,slot machine
97,colorful,true,74,986,414,trivia,puzzle,19,slot machine
73,colorful,true,66,338,87,riddles,maze,9,roulette
83,light,true,83,126,407,jokes,escape room,6,bingo
49,dark,false,16,821,527,riddles,maze,5,bingo
34,dark,false,65,489,167,trivia,puzzle,17,slot machine
63,light,false,0,801,741,trivia,puzzle,11,bingo
35,colorful,false,18,159,329,riddles,maze,13,roulette
95,dark,false,41,712,232,riddles,escape room,3,roulette
75,colorful,true,32,627,952,jokes,maze,20,bingo
84,light,false,42,522,484,riddles,maze,18,bingo
76,light,false,75,218,346,trivia,maze,9,roulette
46,dark,true,5,910,681,jokes,puzzle,13,slot machine
24,light,true,7,784,106,riddles,puzzle,20,bingo
83,dark,true,77,833,120,riddles,maze,6,bingo
94,light,true,99,268,555,jokes,puzzle,7,bingo
1,colorful,false,53,402,888,riddles,escape room,15,slot machine
3,light,true,70,505,474,trivia,maze,18,bingo
19,dark,true,65,535,100,riddles,maze,17,roulette
32,colorful,true,4,346,953,jokes,escape room,14,slot machine
33,dark,false,74,31,588,trivia,maze,19,bingo
90,colorful,true,73,992,411,riddles,puzzle,8,bingo
35,colorful,false,11,342,53,jokes,maze,17,bingo
29,dark,false,10,852,317,jokes,maze,19,slot machine
13,colorful,true,3,772,503,jokes,puzzle,5,bingo
59,colorful,false,100,940,488,riddles,maze,8,slot machine
1,light,false,85,729,349,riddles,maze,14,bingo
44,colorful,true,14,128,873,trivia,maze,20,bingo
86,light,false,27,7,689,jokes,escape room,10,bingo
23,light,false,17,507,848,riddles,puzzle,12,bingo
96,light,true,32,299,737,jokes,puzzle,3,roulette
43,dark,true,63,80,550,riddles,escape room,6,slot machine
62,dark,false,41,285,939,trivia,puzzle,15,bingo
72,light,false,42,975,759,jokes,escape room,2,roulette
33,light,false,35,790,312,jokes,puzzle,8,bingo
96,dark,true,29,892,867,trivia,maze,15,roulette
9,colorful,false,50,126,469,trivia,puzzle,1,slot machine
11,colorful,false,27,164,290,riddles,puzzle,16,slot machine
43,colorful,false,36,251,754,riddles,escape room,14,roulette
